No.,Spec.,b,h,D,H,LamdaC,Ag,Circular,TypeCon,fcp,TypeL,RhoEf,Bars,EfrpL,ffuL,efuL,TypeH,Bars,Config,SpacPitch,EfrpH,ffuH,efuH,e,EoverD,Pexp
1,A-12,610,610,-,3000,17,372100,No,NWC,43.7,GFRP,1,8 No. 8,44.2,608,1.38,GFRP,No. 4,Ties,305,-,-,-,0,0,15235
2,B-12,610,610,-,3000,17,372100,No,NWC,40.6,GFRP,1,8 No. 8,44.4,712,1.6,GFRP,No. 4,Ties,305,-,-,-,0,0,12949
3,A-3,610,610,-,3000,17,372100,No,NWC,36.1,GFRP,1,8 No. 8,44.2,608,1.38,GFRP,No. 4,Ties,76,-,-,-,0,0,11926
4,B-3,610,610,-,3000,17,372100,No,NWC,32.8,GFRP,1,8 No. 8,44.4,712,1.6,GFRP,No. 4,Ties,76,-,-,-,0,0,10751
5,C-G-1-120,350,350,-,1400,14,122500,No,NWC,32.6,GFRP,1.9,8 No. 19,47.6,728,1.53,GFRP,No.13 ties,Ties,120,44,640,1.45,0,0,3929
6,C-G-1A-120,350,350,-,1400,14,122500,No,NWC,32.6,GFRP,1.9,8 No. 19,47.6,728,1.53,GFRP,No.13 ties,Ties,120,44,640,1.45,0,0,3991
7,C-G-2-120,350,350,-,1400,14,122500,No,NWC,32.6,GFRP,1.9,8 No. 19,47.6,728,1.53,GFRP,No.13 ties,Ties,120,44,640,1.45,0,0,4006
8,C-G-3-120,350,350,-,1400,14,122500,No,NWC,32.6,GFRP,1.9,12 No.16,48.2,751,1.56,GFRP,No.13 ,Ties,120,44,640,1.45,0,0,3938
9,C-G-3-80,350,350,-,1400,14,122500,No,NWC,32.6,GFRP,1.9,12 No.16,48.2,751,1.56,GFRP,No.13 ,Ties,80,44,640,1.45,0,0,4067
10,G8V-3H80,-,-,305,1500,20,73062,Yes,NWC,42.9,GFRP,2.2,8 No. 5,55.4,934,1.56,GFRP,No. 3,Spiral,80,53.4,889,1.89,0,0,2920
11,G4V-3H80,-,-,305,1500,20,73062,Yes,NWC,42.9,GFRP,1.1,4 No. 5,55.4,934,1.56,GFRP,No. 3,Spiral,80,53.4,889,1.89,0,0,2826
12,G12V-3H80,-,-,305,1500,20,73062,Yes,NWC,42.9,GFRP,3.2,12 No. 5,55.4,934,1.56,GFRP,No. 3,Spiral,80,53.4,889,1.89,0,0,2998
13,G8V-2H80 ,-,-,305,1500,20,73062,Yes,NWC,42.9,GFRP,2.2,8 No. 5,55.4,934,1.56,GFRP,No. 2,Spiral,80,52.5,938,1.9,0,0,2857
14,G8V-4H80,-,-,305,1500,20,73062,Yes,NWC,42.9,GFRP,2.2,8 No. 5,55.4,934,1.56,GFRP,No. 4,Spiral,80,53.6,941,1.7,0,0,3019
15,G8V-3H40,-,-,305,1500,20,73062,Yes,NWC,42.9,GFRP,2.2,8 No. 5,55.4,934,1.56,GFRP,No. 3,Spiral,40,53.4,889,1.89,0,0,2964
16,G8V-3H120,-,-,305,1500,20,73062,Yes,NWC,42.9,GFRP,2.2,8 No. 5,55.4,934,1.56,GFRP,No. 3,Spiral,120,53.4,889,1.89,0,0,2804
17,G8V-2H35,-,-,305,1500,20,73062,Yes,NWC,42.9,GFRP,2.2,8 No. 5,55.4,934,1.56,GFRP,No. 2,Spiral,35,52.5,938,1.9,0,0,2951
18,G8V-4H145,-,-,305,1500,20,73062,Yes,NWC,42.9,GFRP,2.2,8 No. 5,55.4,934,1.56,GFRP,No. 4,Spiral,145,53.6,941,1.7,0,0,2865
19,C6V-3H80,-,-,305,1500,20,73062,Yes,NWC,42.9,CFRP,1,6 No. 4,140,1899,1.32,CFRP,No. 3,Spiral,80,120,1596,1.33,0,0,2905
20,C10V-3H80,-,-,305,1500,20,73062,Yes,NWC,42.9,CFRP,1.7,10 No. 4,140,1899,1.32,CFRP,No. 3,Spiral,80,120,1596,1.33,0,0,3013
21,C14V-3H80,-,-,305,1500,20,73062,Yes,NWC,42.9,CFRP,2.4,14 No. 4,140,1899,1.32,CFRP,No. 3,Spiral,80,120,1596,1.33,0,0,3107
22,C10V-2H80,-,-,305,1500,20,73062,Yes,NWC,42.9,CFRP,1.7,10 No. 4,140,1899,1.32,CFRP,No. 2,Spiral,80,127,1518,1.2,0,0,2948
23,C10V-4H80,-,-,305,1500,20,73062,Yes,NWC,42.9,CFRP,1.7,10 No. 4,140,1899,1.32,CFRP,No. 4,Spiral,80,140,1899,1.32,0,0,3147
24,C10V-3H40,-,-,305,1500,20,73062,Yes,NWC,42.9,CFRP,1.7,10 No. 4,140,1899,1.32,CFRP,No. 3,Spiral,40,120,1596,1.33,0,0,3070
25,C10V-3H120,-,-,305,1500,20,73062,Yes,NWC,42.9,CFRP,1.7,10 No. 4,140,1899,1.32,CFRP,No. 3,Spiral,120,120,1596,1.33,0,0,2981
26,C10V-2H35,-,-,305,1500,20,73062,Yes,NWC,42.9,CFRP,1.7,10 No. 4,140,1899,1.32,CFRP,No. 2,Spiral,35,127,1518,1.2,0,0,3148
27,C10V-4H145,-,-,305,1500,20,73062,Yes,NWC,42.9,CFRP,1.7,10 No. 4,140,1899,1.32,CFRP,No. 4,Spiral,145,140,1899,1.32,0,0,2941
28,G-1-120-0.8,350,350,-,1400,14,122500,No,NWC,35,GFRP,0.8,8 No. 4,46.6,1040,2.25,GFRP,No. 4,Ties,120,52,962,1.85,0,0,3900
29,G-1-120-1.0,350,350,-,1400,14,122500,No,NWC,35,GFRP,1,4 No. 4 + 4 No. 5,46.3,1040,2.25,GFRP,No. 4,Ties,120,52,962,1.85,0,0,4212
30,G-1-120-1.9,350,350,-,1400,14,122500,No,NWC,35,GFRP,1.9,8 No. 6,47.6,728,1.53,GFRP,No. 4,Ties,120,52,962,1.85,0,0,4297
31,No. 3C-1-67-1.6,350,350,-,1400,14,122500,No,NWC,35,CFRP,1.6,2x8 No. 4,137,1902,1.38,CFRP,No. 3,Ties,67,126,1327,1.05,0,0,5159
32,G-3-120-1.9,350,350,-,1400,14,122500,No,NWC,35,GFRP,1.9,12 No. 5,48.2,751,1.56,GFRP,No. 4,Ties,120,52,962,1.85,0,0,4615
33,G3H200,-,-,305,1500,20,73062,Yes,NWC,42.9,GFRP,2.2,8 No. 5,55.4,934,1.56,GFRP,No. 3,Hoops,80,53.5,889,1.89,0,0,2840
34,G3H400,-,-,305,1500,20,73062,Yes,NWC,42.9,GFRP,2.2,8 No. 5,55.4,934,1.56,GFRP,No. 3,Hoops,80,53.5,889,1.89,0,0,2871
35,G3H600,-,-,305,1500,20,73062,Yes,NWC,42.9,GFRP,2.2,8 No. 5,55.4,934,1.56,GFRP,No. 3,Hoops,80,53.5,889,1.89,0,0,2935
36,C3H200,-,-,305,1500,20,73062,Yes,NWC,42.9,CFRP,1.7,10 No. 4,140,1889,1.32,CFRP,No. 3,Hoops,80,120,1596,1.33,0,0,2869
37,C3H400,-,-,305,1500,20,73062,Yes,NWC,42.9,CFRP,1.7,10 No. 4,140,1889,1.32,CFRP,No. 3,Hoops,80,120,1596,1.33,0,0,2960
38,C3H600,-,-,305,1500,20,73062,Yes,NWC,42.9,CFRP,1.7,10 No. 4,140,1889,1.32,CFRP,No. 3,Hoops,80,120,1596,1.33,0,0,3008
