Lambda,Ag,section_type=Circular,concrete_type=NWC,concrete_type=LWC,fc,TypeL=GFRP,TypeL=CFRP,Rho,EfrpL,fuL,TypeH=GFRP,TypeH=CFRP,TypeH=Steel,t_conf=spiral,t_conf=ties,tspacing,Pexp
17,372100,0,1,0,43.7,1,0,1,44.2,608,1,0,0,0,1,305,15235
17,372100,0,1,0,40.6,1,0,1,44.4,712,1,0,0,0,1,305,12949
17,372100,0,1,0,36.1,1,0,1,44.2,608,1,0,0,0,1,76,11926
17,372100,0,1,0,32.8,1,0,1,44.4,712,1,0,0,0,1,76,10751
14,122500,0,1,0,32.6,1,0,1.9,47.6,728,1,0,0,0,1,120,3929
14,122500,0,1,0,32.6,1,0,1.9,47.6,728,1,0,0,0,1,120,3991
14,122500,0,1,0,32.6,1,0,1.9,47.6,728,1,0,0,0,1,120,4006
14,122500,0,1,0,32.6,1,0,1.9,48.2,751,1,0,0,0,1,120,3938
14,122500,0,1,0,32.6,1,0,1.9,48.2,751,1,0,0,0,1,80,4067
20,73062,1,1,0,42.9,1,0,2.2,55.4,934,1,0,0,1,0,80,2920
20,73062,1,1,0,42.9,1,0,1.1,55.4,934,1,0,0,1,0,80,2826
20,73062,1,1,0,42.9,1,0,3.2,55.4,934,1,0,0,1,0,80,2998
20,73062,1,1,0,42.9,1,0,2.2,55.4,934,1,0,0,1,0,80,2857
20,73062,1,1,0,42.9,1,0,2.2,55.4,934,1,0,0,1,0,80,3019
20,73062,1,1,0,42.9,1,0,2.2,55.4,934,1,0,0,1,0,40,2964
20,73062,1,1,0,42.9,1,0,2.2,55.4,934,1,0,0,1,0,120,2804
20,73062,1,1,0,42.9,1,0,2.2,55.4,934,1,0,0,1,0,35,2951
20,73062,1,1,0,42.9,1,0,2.2,55.4,934,1,0,0,1,0,145,2865
20,73062,1,1,0,42.9,0,1,1,140,1899,0,1,0,1,0,80,2905
20,73062,1,1,0,42.9,0,1,1.7,140,1899,0,1,0,1,0,80,3013
20,73062,1,1,0,42.9,0,1,2.4,140,1899,0,1,0,1,0,80,3107
20,73062,1,1,0,42.9,0,1,1.7,140,1899,0,1,0,1,0,80,2948
20,73062,1,1,0,42.9,0,1,1.7,140,1899,0,1,0,1,0,80,3147
20,73062,1,1,0,42.9,0,1,1.7,140,1899,0,1,0,1,0,40,3070
20,73062,1,1,0,42.9,0,1,1.7,140,1899,0,1,0,1,0,120,2981
20,73062,1,1,0,42.9,0,1,1.7,140,1899,0,1,0,1,0,35,3148
20,73062,1,1,0,42.9,0,1,1.7,140,1899,0,1,0,1,0,145,2941
14,122500,0,1,0,35,1,0,0.8,46.6,1040,1,0,0,0,1,120,3900
14,122500,0,1,0,35,1,0,1,46.3,1040,1,0,0,0,1,120,4212
14,122500,0,1,0,35,1,0,1.9,47.6,728,1,0,0,0,1,120,4297
14,122500,0,1,0,35,0,1,1.6,137,1902,0,1,0,0,1,67,5159
14,122500,0,1,0,35,1,0,1.9,48.2,751,1,0,0,0,1,120,4615
20,73062,1,1,0,42.9,1,0,2.2,55.4,934,1,0,0,0,0,80,2840
20,73062,1,1,0,42.9,1,0,2.2,55.4,934,1,0,0,0,0,80,2871
20,73062,1,1,0,42.9,1,0,2.2,55.4,934,1,0,0,0,0,80,2935
20,73062,1,1,0,42.9,0,1,1.7,140,1889,0,1,0,0,0,80,2869
20,73062,1,1,0,42.9,0,1,1.7,140,1889,0,1,0,0,0,80,2960
20,73062,1,1,0,42.9,0,1,1.7,140,1889,0,1,0,0,0,80,3008
16,49087,1,0,0,38,1,0,2.43,62.6,1184,1,0,0,0,0,50,1791
16,49087,1,0,0,38,1,0,2.43,62.6,1184,1,0,0,0,0,100,1981
16,49087,1,0,0,38,1,0,2.43,62.6,1184,1,0,0,0,0,200,1988
16,49087,1,0,0,38,1,0,2.43,62.6,1184,1,0,0,1,0,50,1838
16,49087,1,0,0,38,1,0,2.43,62.6,1184,1,0,0,1,0,100,2063
32,49087,1,0,0,38,1,0,2.43,62.6,1184,1,0,0,0,0,100,1624
32,49087,1,0,0,38,1,0,2.43,62.6,1184,1,0,0,1,0,100,1208
10,73062,1,1,0,90,1,0,1.65,43,715,1,0,0,1,0,76,7126
13,44100,0,1,0,33.2,1,0,1.15,67.9,1641,1,0,0,0,1,50,1285
16,33006,1,1,0,37,1,0,2.3,50,1200,1,0,0,1,0,60,1220
16,33006,1,1,0,37,1,0,2.3,50,1200,1,0,0,1,0,30,1309
15,34636,1,1,0,85,1,0,2.2,52,1190,1,0,0,1,0,60,2721
15,34636,1,1,0,85,1,0,2.2,52,1190,1,0,0,1,0,30,2398
16,41600,0,1,0,32.75,1,0,1.83,46.3,708,1,0,0,0,1,150,1366.76
16,41600,0,1,0,32.75,1,0,1.83,46.3,708,1,0,0,0,1,75,1449.06
16,41600,0,1,0,32.75,1,0,1.83,46.3,708,1,0,0,0,1,250,1401.8
20,73062,1,1,0,70.2,1,0,2.18,54.9,1289,1,0,0,1,0,80,4709
20,73062,1,1,0,70.2,1,0,3.27,54.9,1289,1,0,0,1,0,80,4716
20,73062,1,1,0,35,0,1,2.18,141,1680,0,1,0,1,0,80,3090
20,73062,1,1,0,70.2,0,1,2.18,141,1680,0,1,0,1,0,80,5120
20,73062,1,1,0,35,1,0,2.18,54.9,1289,1,0,0,1,0,80,2608
20,73062,1,1,0,35,1,0,3.27,54.9,1289,1,0,0,1,0,80,2670
20,73062,1,1,0,35,1,0,2.18,54.9,1289,1,0,0,0,0,80,2564
20,73062,1,1,0,35.1,1,0,2.18,54.9,1289,1,0,0,1,0,80,2652
20,70686,1,1,0,70.2,1,0,2.18,141,1680,1,0,0,0,0,80,4689
20,70686,1,1,0,70.2,1,0,2.18,141,1680,1,0,0,1,0,80,4680
21,90000,0,1,0,39,1,0,1.34,39,654,0,0,1,0,1,150,3091
28,90000,0,1,0,39,1,0,1.34,39,654,0,0,1,0,1,150,2855
42,90000,0,1,0,39,1,0,1.34,39,654,0,0,1,0,1,150,2411
